id;name;cpf;telephone;email;created_at;updated_at
46fb489a-6f64-4fbd-8a9f-d3be8b0563e1;Ricardo Pereira Da Silva;12223423434;11998673234;ricardo.ps@gmail.com;2025-10-23 18:50:02.892;2025-10-23 18:50:02.892
3c710672-bc3f-4cef-b270-a28bac45eae1;Ana Carolina Silva;12345678901;11987654321;ana.silva@outlook.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
a5603126-af35-4336-880c-39c347a27b49;Bruno Oliveira Santos;23456789012;11976543210;bruno.santos@gmail.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
edc03daa-e122-44af-8c6f-eb806c453434;Carla Pereira Lima;34567890123;11965432109;carla.lima@hotmail.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
3273e48d-e6f9-41ea-8cab-1ea1d428308f;Daniel Costa Rodrigues;45678901234;11954321098;daniel.rodrigues@yahoo.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
ee98de81-b3d8-4a76-87ba-cccd5072dda3;Eduarda Almeida Souza;56789012345;11943210987;eduarda.souza@proton.me;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
00180609-4a2c-43a1-af92-4a9527e36e34;Felipe Martins Barbosa;67890123456;11932109876;felipe.barbosa@icloud.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
f5207ece-9ca1-4d37-a9bb-b4ef339394f8;Gabriela Rocha Ferreira;78901234567;11921098765;gabriela.ferreira@live.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
33021b2e-bf56-459d-9cc2-ecfa674e6f8c;Henrique Cardoso Nunes;89012345678;11910987654;henrique.nunes@bol.com.br;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
038b3713-a0c3-4f15-94e8-23a2018cfb3e;Isabela Dias Castro;90123456789;11909876543;isabela.castro@uol.com.br;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
7028b12f-bbbc-40ee-8469-1d0e4367f9f8;João Pedro Mendes Gomes;1234567890;11898765432;joao.gomes@terra.com.br;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
178e9cdc-9798-4672-a736-baeddaad06d2;Larissa Teixeira Pinto;12345678902;11887654321;larissa.pinto@empresa.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
6aebab66-65e2-4670-a53a-acbe35182e24;Marcos Antonio Duarte;23456789013;11876543210;marcos.duarte@faculdade.edu;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
9535b9d1-0d5b-4880-a18f-b9ada019a9dd;Natália Ribeiro Moreira;34567890124;11865432109;natalia.moreira@consultoria.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
e14adfe0-75a2-4782-b566-7a0f67ab7ed1;Otávio Correia Lopes;45678901235;11854321098;otavio.lopes@tech.com.br;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
1718cabf-4ded-46aa-8403-c412d28c0cf8;Patrícia Monteiro Neves;56789012346;11843210987;patricia.neves@servicos.org;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
25672c89-212b-4c1b-b58f-109007e3e05b;Rafael Cunha Batista;67890123457;11832109876;rafael.batista@digital.net;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
e675bbfa-8c34-436b-b7eb-c69311c224bb;Sofia Martins Costa;78901234568;11821098765;sofia.costa@empresarial.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
bc483dc4-2596-4486-8caf-44287e7b5f71;Thiago Alves Ribeiro;89012345679;11810987654;thiago.ribeiro@startup.io;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
28ecf9ba-78d2-43c5-8dd0-6deb763049fb;Vanessa Oliveira Campos;90123456780;11798765432;vanessa.campos@creative.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
22d277df-7f4f-49e1-a729-6815d3bf8ea5;William Santos Pereira;1234567891;11787654321;william.pereira@business.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
3e521f4f-94d1-42ea-b762-b5c5fce05a7b;Yasmin Costa Rodrigues;12345678903;11776543210;yasmin.rodrigues@inovacao.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
c9bc19da-7eb9-4460-be6d-35c368b69cb4;Zé Roberto Silva Neto;23456789014;11765432109;ze.neto@empresa.com.br;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
6dfec08c-fbe3-4745-8571-9c026429ef72;Amanda Ribeiro Teixeira;34567890125;11754321098;amanda.teixeira@grupo.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
d116d9b5-2132-4792-90cb-c76f88cb9c17;Carlos Eduardo Lima;45678901236;11743210987;carlos.lima@corporation.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
22a55e30-9d12-4a4c-ae5e-80c92f7df037;Daniela Santos Almeida;56789012347;11732109876;daniela.almeida@empresax.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
4b104571-27d7-46bd-bbac-2060a0705185;Erick Oliveira Costa;67890123458;11721098765;erick.costa@companhia.net;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
8d52b70e-d065-4880-afa3-14a91fe05a36;Fernanda Pereira Souza;78901234569;11710987654;fernanda.souza@holding.com;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
6f89f185-d7ed-4887-8a50-8d9019faa7ad;Gustavo Rodrigues Silva;89012345680;11698765432;gustavo.silva@empresay.com.br;2025-10-23 16:01:45.534;2025-10-23 16:01:45.534
